422;8;;;;;0;;
479;73;;;;;80;;
494;147;;;;;60;;
487;127;;;;;70;;
396;81;;;;;20;;
571;134;;;;;;; 
583;70;;;;;0;;
350;35;;;;;0;;
395;121;;;;;70;;
621;34;;;;;80;;
352;60;;;;;60;;
569;113;0;;;;;;0 
431;22;;;;;90;;
576;108;;;;;90;;
367;69;;;;;80;;
610;150;;;;;10;;
557;120;80;37;96;82;24;0; 
574;166;;;;;90;;
524;2;;;;;70;;
474;132;;;;;80;;
517;72;;;;;60;;
502;95;;;;;70;;
408;61;;;;;70;;
430;101;;;;;80;;
423;113;;;;;80;;
422;79;;;;;0;;
605;26;;;;;70;;
604;324;;;;;;; 
504;57;;;;;20;;
350;210;;;;;70;;
619;122;;;;;10;;
368;22;;;;;60;;
482;87;;;;;80;;
388;199;;;;;60;;
447;82;;;;;60;;
597;159;;;;;0;;
390;153;;;;;;; 
520;54;;;;;70;;
540;239;;;;;20;;
412;229;;;;;10;;
480;218;;;;;0;;
465;193;;;;;0;;
633;109;;;;;60;;
437;176;;;;;80;;
466;169;;;;;10;;
435;121;;;;;70;;
563;50;;;;;70;;
441;227;;;;;;; 
548;215;;;;;0;;
475;63;;;;;0;;
584;102;;;;;;; 
476;267;;;;;;; 
417;221;;;;;;; 
646;114;;;;;;; 
372;87;;;;;90;;
386;28;;;;;10;;
517;218;;;;;10;;
545;68;;;;;80;;
605;75;;;;;60;;
492;215;;;;;;; 
461;207;;;;;;; 
611;134;;;;;70;;
488;246;;;;;80;;
377;74;;;;;70;;
377;90;;;;;70;;
203;429;86;44;53;;;; 
213;408;70;80;90;;;; 
621;107;;;;;0;;
357;174;;;;;80;;
519;55;;;;;60;;
461;185;;;;;10;;
489;108;;;;;10;;
365;113;;;;;;; 
404;212;;;;;10;;
527;133;;;;;0;;
194;392;;;;;;; 
657;461;07;84;73;57;82;0; 
559;196;;;;;80;;
631;153;;;;;70;;
567;216;;;;;80;;
613;244;;;;;20;;
579;128;67;67;77;96;14;0; 
528;127;;;;;80;;
577;160;;;;;10;;
487;19;;;;;80;;
592;77;;;;;80;;
550;108;14;81;56;94;48;0; 
632;128;;;;;0;;
577;53;;;;;;;181 
202;408;;;;;;; 
427;24;;;;;80;;
531;220;;;;;70;;
633;61;;;;;80;;
373;232;;;;;0;;
497;250;;;;;80;;
539;45;;;;;70;;
457;29;;;;;80;;
605;233;;;;;90;;
634;181;;;;;70;;
599;321;73;83;96;;;; 
365;130;72;99;72;;;; 
366;95;;;;;60;;
209;387;10;45;93;80;41;0; 
435;194;;;;;60;;
408;193;0;;;;;;0 
603;232;;;;;80;;
540;118;;;;;90;;
477;104;;;;;70;;
386;92;;;;;60;;
506;68;;;;;60;;
679;445;;;;;;; 
556;20;;;;;10;;
436;196;84;41;85;76;94;0; 
467;51;;;;;0;;
418;10;;;;;70;;
526;118;;;;;60;;
437;281;14;78;81;;;; 
486;224;;;;;;; 
433;114;;;;;0;;
627;32;;;;;70;;
593;360;93;81;70;88;23;0; 
385;133;;;;;;; 
582;141;;;;;;; 
527;182;;;;;;; 
545;203;;;;;20;;
596;77;;;;;70;;
474;232;;;;;;; 
595;102;;;;;10;;
419;203;54;81;86;;;; 
496;54;;;;;60;;
617;12;;;;;80;;
453;41;;;;;70;;
485;66;;;;;70;;
435;248;;;;;90;;
511;160;;;;;0;;
373;216;;;;;10;;
414;146;;;;;80;;
